IDs;Location;Basin;Latitude;Longitude;Other name
UMAMC;UMATILLA RIVER AT PENDLETON;Umatilla;45.67207498;-118.7927637;
KETFE;KETTLE RIVER NEAR FERRY;Kettle;48.9813888889;-118.7652777778;
SANPO;WEST FORK SANPOIL RIVER NEAR REPUBIC;Sanpoil;48.4587718;-118.7516928;
SANRE;SANPOIL RIVER AB 13 MILE CREEK NEAR REPUBLIC;Sanpoil;48.47738367;-118.7300255;
GOLDS;GOLDSTREAM RIVER BELOW OLD CAMP CREEK;Goldstream;51.6683333333;-118.5969444444;
GRANB;GRANBY RIVER NEAR GRAND FORKS;Granby;49.0441666667;-118.4386111111;
TOUCH;TOUCHET RIVER AT BOLLES;Touchet;46.2688888889;-118.2211111111;
MALAB;MALHEUR RIVER ABOVE NORTH FORK MALHEUR RIVER;Malheur;43.57444444;-118.2097222;
MALNF;NORTH FORK MALHEUR RIVER;Malheur;43.9075;-118.1533333;
ILLEC;ILLECILLEWAET RIVER AT GREELEY;Illecillewaet;51.0136111111;-118.0825;
TUCAN;TUCANNON RIVER NEAR STARBUCK;Tucannon;46.5054217;-118.0663393;
COLKE;COLVILLE RIVER AT KETTLE FALLS;Colville;48.5943461;-118.0624887;
POWDN;POWDER RIVER AT BAKER CITY;Powder;44.7682084;-117.831607;
SLOCR;SLOCAN RIVER NEAR CRESCENT VALLEY;Slocan;49.4605555556;-117.5644444444;
LISPO;LITTLE  SPOKANE RIVER NEAR DARTFORD;Spokane;47.78100099;-117.4963338;
BEAVE;BEAVER RIVER NEAR THE MOUTH;Beaver;51.5097222222;-117.4616666667;
HANGM;HANGMAN CREEK AT SPOKANE;Hangman Creek;47.6526688;-117.449658;
BULLY;BULLY CREEK NEAR VALE;Bully Creek;43.95821569;-117.34268;
SALSA;SALMO RIVER NEAR SALMO;Salmo;49.0469444444;-117.2936111111;
DONAL;COLUMBIA RIVER AT DONALD;Columbia;51.4833333333;-117.1791666667;
ASOTI;ASOTIN CREEK AT ASOTIN;Asotin Creek;46.34071536;-117.0559898;
DUNBB;DUNCAN RIVER BELOW B.B. CREEK;Duncan;50.6380555556;-117.0472222222;
KICHO;KICKING HORSE RIVER AT GOLDEN;Kicking Horse;51.3;-116.9680555556;
LARMA;LARDEAU RIVER AT MARBLEHEAD;Lardeau;50.2630555556;-116.9672222222;
PRIPR;PRIEST RIVER NEAR PRIEST RIVER;Priest River;48.2197222;-116.9141667;
CRNIC;COLUMBIA RIVER AT NICHOLSON;Columbia;51.2438888889;-116.9116666667;
PINEC;PINE CREEK NEAR OXBOW;Pine Creek;44.9525;-116.8741667;
IMNAH;IMNAHA RIVER AT IMNAHA;Imnaha;45.5623784;-116.8343178;
SPILL;SPILLIMACHEEN RIVER NEAR SPILLIMACHEEN;Spillimacheen;50.9041666667;-116.4058333333;
JOECA;ST JOE RIVER AT CALDER;St. Joe;47.27464;-116.1890491;
MOREA;MOYIE RIVER AT EASTPORT;Moyie;48.99916667;-116.1797222;
COEUR;NF COEUR D ALENE R AB SHOSHONE CK NR PRICHARD;Shoshone Creek;47.7061111;-115.9791667;
KOOTE;KOOTENAY RIVER AT FORT STEELE;Kootenai(y);49.6119444444;-115.6344444444;
JOHNS;JOHNSON CREEK AT YELLOW PINE;Salmon;44.96166667;-115.5;
BULWA;BULL RIVER NEAR WARDENER;Bull;49.4930555556;-115.3638888889;
SFBOI;SF BOISE RIVER NR FEATHERVILLE;Boise River;43.4958333;-115.3080556;
STREG;St. REGIS RIVER NEAR St. REGIS;ST. Regis;47.2967111;-115.122625;
TOBAC;TOBACCO RIVER NEAR EUREKA;Tobacco;48.89359167;-115.0878528;
ELKFE;ELK RIVER AT FERNIE;Elk;49.51;-115.0713888889;
ELKNA;ELK RIVER NEAR NATAL;Elk;49.8661111111;-114.8683333333;
FORDI;FORDING RIVER AT THE MOUTH;Fording;49.8941666667;-114.8647222222;
FLATH;FLATHEAD RIVER AT FLATHEAD;Flathead;49.0005555556;-114.4763888889;
STILL;STILLWATER RIVER NEAR WHITEFISH;Stillwater;48.31905278;-114.3871583;
BITWF;WEST FORK BITTERROOT RIVER NEAR CONNER;Bitterroot;45.72482778;-114.2822944;
BITDA;BITTERROOT RIVER NEAR DARBY;Bitterroot;45.97205;-114.1412333;
CLABE;CLARK FORK BELOW MISSOULA;Clark Fork;46.8686333;-114.1277472;
BITCO;EAST FORK BITTERROT RIVER NEAR CONNER;Bitterroot;45.9306694;-114.1231028;
SWANR;SWAN RIVER NEAR BIGFORK;Swan;48.02423056;-113.9788194;
BLACK;BLACKFOOT RIVER NEAR BONNER;Blackfoot;46.8994111;-113.7563194;
ROCKC;ROCK CREEK NEAR CLINTON;Rock Creek;46.7223361;-113.683061;
FLATW;SOUTH FORK OF FLATHEAD RIVER ABOVE TWIN CREEK NEAR HUNGRY HORSE;Flathead;47.9790972;-113.5606833;
CLERI;CLEARWATER RIVER AT CLEARWATER;Clearwater;46.96660078;-113.378687;
CLADR;CLARK FORK NEAR DRUMMOND;Clark Fork;46.71191389;-113.3307806;
FLINT;FLINT CREEK NEAR DRUMMOND;Flint Creek;46.62872778;-113.1506917;
BLADR;NORTH FORK OF BLACKFOOT RIVER ABOVE DRY GULCH NEAR OVANDO;Blackfoot;46.9794944;-113.092186;
NEVAD;NEVADA CREEK AT MOUTH NEAR HELMVILLE;Nevada Creek;46.8907698;-113.0386674;
BLAGA;LITTLE BLACKFOOT RIVER NEAR GARRISON;Little Blackfoot;46.5194833;-112.7931722;
SILSP;SILVER BOW CREEK AT WARM SPRINGS;Silver Bow Creek;46.1794972;-112.780561;
CLAGA;CLARK FORK NEAR GALEN;Clark Fork;46.20824167;-112.76735;
CLALO;CLARK FORK AT DEER LODGE;Clark Fork;46.39765;-112.7425389;
BLADA;BLACKFOOT RIVER AT BLACKFOOT DAM;Blackfoot;42.81527778;-111.5066667;
